2017-05-09 22:51:25.210549,1494384685.368235,Don Valley Pkwy N,25253,1477,1478
2017-05-09 22:54:21.987974,1494384862.414324,Don Valley Pkwy S,24857,1395,1582
2017-05-09 22:54:22.414484,1494384862.560789,Don Valley Pkwy N,24724,1408,1501
2017-05-09 22:55:12.482781,1494384912.850254,Don Valley Pkwy S,24857,1402,1582
1494385027.624874,2017-05-09 22:57:07.267829,Don Valley Pkwy S,24857,1379,1582
1494385056.368855,Don Valley Pkwy S,24857,1375,1582,2017-05-09 22:57:36.033649
